"1","1-комнатные","Архангельская","13","30","без балкона","5","1100","Косметический ремонт. Торг.",,"2018-10-28"
"3","1-комнатные","Набережная","48","30","балкон","3","1440","Косметический ремонт, частично обставлена мебелью. 1 собственник.","продажа","2018-10-28"
"4","1-комнатные","Набережная","42-а","30","балкон","2","1150","Косметический ремонт, стеклопакеты.","продажа","2018-10-28"
"5","1-комнатные","Ломоносова","6","32","балкон","1","1270"," Тёплая, косметический ремонт.","продажа","2018-10-28"
"7","1-комнатные","Ленина","45-а","36","балкон","3","1600","Хороший ремонт. 1 собственник.","продажа","2018-10-29"
"9","1-комнатные","Ломоносова","3","29","балкон","1","1200","Хорошее состояние. Торг.","продажа","2018-10-29"
"11","гостинки","Кирова","15","20","балкон","2","960","Хороший ремонт, частично обставлена мебелью. Свой санузел. Торг.","продажа","2018-10-29"
"12","гостинки","Кирова","15","20","балкон","2","735","Чистая. Имеется ванна.","продажа","2018-10-29"
"13","гостинки","Дыбцына","14","13","без балкона","3","480","Чистая, тёплая, пластиковые окна, металлическая дверь.","продажа","2018-10-29"
"14","гостинки","Дыбцына","14","24","без балкона","5","800","2-х комнатная гостинка. Чистая. Имеется душ, пластиковые окна. Торг.","продажа","2018-10-29"
"15","гостинки","Пушкина","12-а","13","балкон","3","620","Идеальное состояние. Имеется душ, туалет. Металлическая дверь.","продажа","2018-10-29"
"16","гостинки","Пушкина","12-а","20","балкон","5","800","Хороший ремонт. Имеется душ, стеклопакеты, шкаф-купе.","продажа","2018-10-29"
"17","гостинки","Пушкина","12-а","26","без балкона","3","770","Чистая, тёплая. Санузел.","продажа","2018-10-29"
"18","гостинки","Пушкина","22","12","балкон","4","550","Чистая. Санузел.","продажа","2018-10-29"
"19","2-х комнатные","Ленина","10","42","балкон","5","2200",,"продажа","2018-10-29"
"20","2-х комнатные","Ленина","10","44","балкон","4","1300",,"продажа","2018-10-29"
"21","2-х комнатные","Ленина","4","42","без балкона","1","1150",,"продажа","2018-10-29"
"22","2-х комнатные","Ленина","24","45","балкон","4","1500",,"продажа","2018-10-29"
"23","2-х комнатные","Архангельская","25","47","балкон","3","1700",,"продажа","2018-10-29"
"24","3-х комнатные","Ленина","43","60","балкон","3","2200",,"продажа","2018-10-29"
"25","3-х комнатные","Ленина","43","60","балкон","2","2200",,"продажа","2018-10-29"
"26","3-х комнатные","Ленина","46","60","балкон","3","2200",,"продажа","2018-10-29"
"27","3-х комнатные","Советская","2-а","60","без балкона","1","2400",,"продажа","2018-10-29"
"28","3-х комнатные","Советская","2-а","60","балкон","4","2350",,"продажа","2018-10-29"
"29","3-х комнатные","Советская","2-а","60","балкон","5","2200",,"продажа","2018-10-29"
"30","3-х комнатные","Архангельская","29-а","60","балкон","3","2200",,"продажа","2018-10-29"
"31","3-х комнатные","Ленина","51","60","балкон","1","2150",,"продажа","2018-10-29"
"32","3-х комнатные","Театральная","9","60","балкон","1","3000","Чистая. Торг.","продажа","2018-10-29"
"33","3-х комнатные","Театральная","9","60","балкон","1","3000","Чистая. Торг.","продажа","2018-10-29"
"34","3-х комнатные","Космонавтов","6","60","балкон","5","2000","Чистая. Торг.","продажа","2018-10-29"
"35","секции","Лермонтова","2","9","без балкона","5","300","Убитая","продажа","2018-10-30"
"36","секции","Театральная","15","15","балкон","3","300","Такой секции нет.","продажа","2018-11-01"
"52","1-комнатные","Глейха","18","32","балкон","1","2000","Тест1","продажа","2018-11-02"
"58","1-комнатные","Гоголя","18","32","балкон","1","2000","Тест1","продажа","2018-11-02"
"59","1-комнатные","Гоголя","18","32","балкон","1","2000","Тест1","продажа","2018-11-02"
"62","1-комнатные","Дыбцына","18","32","балкон","1","2000","Тест1","продажа","2018-11-02"
"63","1-комнатные","Дыбцына","18","32","балкон","1","2000","Тест1","продажа","2018-11-02"
"64","2-х комнатные","Гоголя","18","30","балкон","1","2000",,"продажа","2018-11-02"
"65","2-х комнатные","Гоголя","18","30","балкон","1","2000",,"продажа","2018-11-02"
"66","2-х комнатные","Гоголя","18","30","балкон","1","2000",,"продажа","2018-11-02"
"67","3-х комнатные","Гоголя","18","30","балкон","1","3000",,"продажа","2018-11-02"
"68","3-х комнатные","Гоголя","18","30","балкон","1","3000",,"продажа","2018-11-02"
"69","3-х комнатные","Гоголя","18","30","балкон","1","3000",,"продажа","2018-11-02"
"70","гостинки","Гоголя","18","10","без балкона","1","800",,"продажа","2018-11-02"
"71","гостинки","Гоголя","22","10","без балкона","1","800",,"продажа","2018-11-02"
"72","гостинки","Гоголя","22","10","без балкона","1","1100",,"продажа","2018-11-02"
"73","секции","Кирова","33","5","без балкона","4","500",,"продажа","2018-11-02"
"74","секции","Кирова","33","5","без балкона","4","400",,"продажа","2018-11-02"
"75","секции","Кирова","33","5","без балкона","4","700",,"продажа","2018-11-02"
"76","1-комнатные","Архангельская",,"0","балкон","1","0",,"продажа","2018-11-02"
"77","1-комнатные","Глейха",,"0","балкон","1","0",,"продажа","2018-11-02"
"78","1-комнатные","Архангельская","18","0","балкон","1","2200",,"продажа","2018-11-02"
"79","1-комнатные","Архангельская","18","0","балкон","1","1440",,"продажа","2018-11-02"
"80","секции","Архангельская","18","26","балкон","1","800",,"продажа","2018-11-02"
